movie_title,release_date,mpaa_rating,total_gross,inflation_adjusted_gross,genre_Action,genre_Adventure,genre_Black Comedy,genre_Comedy,genre_Concert/Performance,genre_Documentary,genre_Drama,genre_Horror,genre_Musical,genre_Romantic Comedy,genre_Thriller/Suspense,genre_Western,total_gross_category,inflation_adjusted_gross_category
The Hitchhiker's Guide to the Galaxy,2005,PG,51019112,67096891,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
Hauru no ugoku shiro,2005,PG,4710455,6194870,False,True,False,False,False,False,False,False,False,False,False,False,Low,Low
Herbie: Fully Loaded,2005,G,66010682,86812798,False,False,False,True,False,False,False,False,False,False,False,False,High,Medium
Dark Water,2005,PG-13,25473093,33500491,False,False,False,False,False,False,False,False,False,False,True,False,Medium,Low
Sky High,2005,PG,63939454,84088854,False,True,False,False,False,False,False,False,False,False,False,False,High,Medium
Valiant,2005,G,19478106,25616292,False,True,False,False,False,False,False,False,False,False,False,False,Low,Low
Flightplan,2005,PG-13,89706988,117960425,False,False,False,False,False,False,False,False,False,False,True,False,High,High
The Greatest Game Ever Played,2005,PG,15331289,20162672,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
Shopgirl,2005,R,10284523,13519621,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
Chicken Little,2005,G,135386665,177954661,False,True,False,False,False,False,False,False,False,False,False,False,High,High
"The Chronicles of Narnia: The Lion, t…",2005,PG,291710957,381557539,False,True,False,False,False,False,False,False,False,False,False,False,High,High
Casanova,2005,R,11304403,14574087,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
Glory Road,2006,PG,42647449,54888236,False,False,False,False,False,False,True,False,False,False,False,False,Medium,Medium
Annapolis,2006,PG-13,17127992,22044113,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
Roving Mars,2006,G,10407978,12948025,False,False,False,False,False,True,False,False,False,False,False,False,Low,Low
Eight Below,2006,PG,81612565,105037235,False,True,False,False,False,False,False,False,False,False,False,False,High,High
The Shaggy Dog,2006,PG,61123569,78667428,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
Stay Alive,2006,PG-13,23086480,29712825,False,False,False,False,False,False,False,True,False,False,False,False,Medium,Low
The Wild,2006,G,37384046,48114115,False,True,False,False,False,False,False,False,False,False,False,False,Medium,Medium
Stick It,2006,PG-13,26910736,34634731,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Low
Goal! The Dream Begins,2006,PG,4283255,5512647,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
Cars,2006,G,244082982,314140384,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Pirates of the Caribbean: Dead Man’…,2006,PG-13,423315812,544817142,False,True,False,False,False,False,False,False,False,False,False,False,High,High
Step Up,2006,PG-13,65328121,84078780,False,False,False,False,False,False,True,False,False,False,False,False,High,Medium
Invincible,2006,PG,57806952,74398864,False,False,False,False,False,False,True,False,False,False,False,False,Medium,Medium
The Guardian,2006,PG-13,55011732,70801353,True,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium
The Prestige,2006,PG-13,53089891,68289913,False,False,False,False,False,False,False,False,False,False,True,False,Medium,Medium
Tim Burton's The Nightmare Before Chr…,2006,PG,24732041,30737517,False,False,False,False,False,False,False,False,True,False,False,False,Medium,Low
The Santa Clause 3: The Escape Clause,2006,G,84500122,108694869,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Déjà Vu,2006,PG-13,64038616,82267038,False,False,False,False,False,False,False,False,False,False,True,False,High,Medium
Apocalypto,2006,R,50866635,64959548,False,True,False,False,False,False,False,False,False,False,False,False,Medium,Medium
Primeval,2007,R,10597734,12985302,False,True,False,False,False,False,False,False,False,False,False,False,Low,Low
Bridge to Terabithia,2007,PG,82234139,100760721,False,False,False,False,False,False,True,False,False,False,False,False,High,High
Wild Hogs,2007,PG-13,168213584,206110533,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Meet the Robinsons,2007,G,97822171,119860589,False,True,False,False,False,False,False,False,False,False,False,False,High,High
The Lookout,2007,R,4600585,5637048,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
The Hoax,2007,R,7164995,8779196,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
The Invisible,2007,PG-13,20568319,25202168,False,False,False,False,False,False,False,False,False,False,True,False,Low,Low
